KO	base_KO	name	symbol	n_isolates	perc_isolates	module	pathways	Actinomyces__(15)	Cutibacterium__(14)	Fusobacterium+Leptotrichia__(13)	Gemella__(5)	Granulicatella__(12)	Haemophilus__(11)	Micrococcus__(7)	Neisseria__(8)	Pauljensenia__(9)	Prevotella__(6)	Rothia__(4)	Staphy.+Nialla__(10)	Strep.I__(1)	Strep.II__(2)	Strep.III__(16)	Veillonella__(3)
K07282	K07282	gamma-polyglutamate biosynthesis protein CapA	capA, pgsA	78	61.905	Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis	 	0.501	0.501	-0.525	-0.812	0.653	-1.298	-1.041	-1.453	-1.38	1.068	-1.577	0.508	1.56	1.502	1.123	-0.23
K07283	K07283	putative salt-induced outer membrane protein	ydiY	4	3.175		 	0.729	0.729	0.579	0.123	0.579	0.375	0.233	0.233	0.299	2.375	0.123	0.299	-0.28	-0.229	0.123	0.076
K07284	K07284	sortase A [EC:3.4.22.70]	srtA	93	73.81		 	0.263	0.263	-1.332	0.877	0.413	-1.557	0.764	-1.724	0.697	-1.795	0.877	0.697	1.298	1.244	0.877	-1.922
K07287	K07287	outer membrane protein assembly factor BamC	bamC	10	7.937		 	0.339	0.339	0.189	-0.269	0.189	0.974	-0.158	2.698	-0.092	-0.216	-0.269	0.392	-0.675	-0.623	-0.269	-0.316
K07291	K07291	CDP-L-myo-inositol myo-inositolphosphotransferase [EC:2.7.8.34]	dipps	10	7.937		map00562 Inositol phosphate metabolism,map01100 Metabolic pathways	0.339	0.339	0.189	0.176	0.189	-0.015	-0.158	-0.158	-0.092	2.899	-0.269	0.392	-0.675	-0.623	-0.269	-0.316
K07301	K07301	cation:H+ antiporter	yrbG	14	11.111		 	0.183	0.183	0.033	-0.425	0.033	0.782	1.485	-0.314	-0.248	2.045	-0.425	-0.248	-0.833	-0.782	-0.425	-0.473
K07306	K07306	anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3]	dmsA	4	3.175		map00920 Sulfur metabolism,map01100 Metabolic pathways	0.729	2.389	0.579	0.123	0.579	1.598	0.233	0.233	0.299	0.175	0.123	0.299	-0.28	-0.229	0.123	0.076
K07313	K07313	serine/threonine protein phosphatase 1 [EC:3.1.3.16]	pphA	63	50		 	-0.713	-0.713	0.866	0.955	0.866	-1.077	-0.815	-1.227	-1.157	-0.507	-0.581	-0.316	1.808	1.745	-1.345	-0.647
K07315	K07315	phosphoserine phosphatase RsbU/P [EC:3.1.3.3]	rsbU_P	19	15.079		 	0.034	0.034	1.096	2.289	-0.116	-0.321	-0.029	-0.029	-0.398	-0.523	-0.575	2.015	-0.986	-0.934	-0.575	-0.623
K07316	K07316	adenine-specific DNA-methyltransferase [EC:2.1.1.72]	mod	41	32.54		 	-0.395	0.322	0.634	-0.243	0.016	0.147	0.761	0.471	-0.398	0.34	1.699	-0.398	-0.749	-0.297	-0.619	-0.307
K07317	K07317	adenine-specific DNA-methyltransferase [EC:2.1.1.72]	K07317	8	6.349		 	0.438	0.438	0.288	-0.169	0.288	0.084	-0.058	0.426	0.008	1.455	0.293	0.008	-0.574	0.297	-0.169	-0.216
K07318	K07318	adenine-specific DNA-methyltransferase [EC:2.1.1.72]	K07318	9	7.143		 	0.386	0.386	0.857	0.231	0.236	0.032	0.364	-0.11	-0.044	1.354	-0.221	-0.044	-0.627	-0.163	-0.221	0.176
K07319	K07319	adenine-specific DNA-methyltransferase [EC:2.1.1.72]	yhdJ	27	21.429		 	1.29	0.576	0.271	0.287	-0.3	1.687	-0.649	0.177	-0.141	0.862	-0.761	-0.582	-0.25	-0.188	-0.761	-0.415
K07320	K07320	ribosomal protein L3 glutamine methyltransferase [EC:2.1.1.298]	prmB	77	61.111		 	-0.912	-0.912	-1.067	-1.561	0.668	0.876	-1.437	1.023	-1.365	1.083	-1.561	0.523	1.576	1.519	1.138	-1.615
K07322	K07322	regulator of cell morphogenesis and NO signaling	ytfE, scdA	28	22.222		 	-0.169	-0.169	-0.32	-0.782	-0.32	1.664	-0.67	1.423	-0.603	1.912	-0.782	0.903	-1.199	-1.146	-0.782	0.607
K07326	K07326	hemolysin activation/secretion protein	fhaC	10	7.937		map05133 Pertussis	0.339	0.339	2.036	-0.269	0.189	-0.015	-0.158	-0.158	-0.092	-0.216	-0.269	-0.092	-0.675	-0.623	-0.269	1.944
K07334	K07334	toxin HigB-1	higB-1	6	4.762		 	0.562	0.562	0.412	-0.044	0.412	0.763	0.066	0.58	1.161	0.509	-0.044	0.132	-0.449	-0.398	-0.044	0.392
K07335	K07335	basic membrane protein A and related proteins	bmpA, bmpB, tmpC	81	64.286		map02010 ABC transporters	0.457	0.457	-0.571	1.076	0.608	-1.345	0.962	-1.09	0.894	-1.568	-1.628	-1	1.51	1.453	1.076	-1.683
K07339	K07339	mRNA interferase HicA [EC:3.1.-.-]	hicA	15	11.905		 	0.15	0.15	1.228	0.641	0.59	0.281	-0.347	1.117	-0.281	-0.406	-0.458	-0.281	-0.867	0.367	-0.458	-0.506
K07340	K07340	inner membrane protein	ybbJ	45	35.714		 	0.972	0.972	1.128	-1.076	-0.608	0.45	1.502	-0.962	1.429	1.568	1.628	-0.894	-1.51	-0.223	-1.076	-1.126
K07341	K07341	death on curing protein	doc	45	35.714		 	0.972	-0.457	0.571	-0.308	-0.047	-0.359	-0.547	-0.962	0.586	1.168	-0.308	-0.462	-0.435	0.025	-0.308	1.301
K07343	K07343	DNA transformation protein and related proteins	tfoX	58	46.032		 	0.783	-0.643	0.379	0.398	0.936	1.149	-0.742	-0.347	0.073	0.964	-1.271	-0.656	0.336	0.135	-0.507	-0.939
K07344	K07344	type IV secretion system protein TrbL	trbL	6	4.762		map02024 Quorum sensing	1.377	0.562	1.775	-0.044	0.412	0.208	0.066	0.066	0.132	0.008	-0.044	0.132	-0.449	-0.398	-0.044	1.208
K07386	K07386	putative endopeptidase [EC:3.4.24.-]	pepO	85	67.46		 	0.395	0.395	-0.634	-1.699	-1.192	-0.958	0.899	-1.57	0.832	0.959	1.013	-1.496	1.442	1.386	1.013	-1.756
K07387	K07387	metalloprotease [EC:3.4.24.-]	K07387	8	6.349		 	0.438	0.438	0.288	-0.169	0.288	0.084	-0.058	0.426	0.008	2.913	-0.169	0.008	-0.574	-0.523	-0.169	-0.216
K07393	K07393	glutathionyl-hydroquinone reductase [EC:1.8.5.7]	ECM4, yqjG	12	9.524		 	1.737	0.255	0.105	-0.352	0.105	-0.099	2.053	-0.242	-0.175	-0.3	-0.352	-0.175	-0.76	-0.708	0.081	0.707
K07396	K07396	putative protein-disulfide isomerase	K07396	4	3.175		 	0.729	0.729	0.579	1.763	0.579	0.375	0.233	0.233	0.299	0.738	0.123	0.299	-0.28	-0.229	0.123	0.076
K07397	K07397	putative redox protein	yhfA	24	19.048		 	1.358	-0.086	-0.236	-0.697	-0.236	-0.442	-0.585	1.944	1.857	-0.644	-0.697	-0.519	-1.111	-1.059	2.099	-0.745
K07399	K07399	cytochrome c biogenesis protein	resB, ccs1	27	21.429		 	-0.149	1.29	-0.3	-0.761	-0.3	-0.505	1.862	1.862	-0.582	1.938	0.022	-0.141	-1.178	-1.125	-0.761	-0.81
K07400	K07400	Fe/S biogenesis protein NfuA	nfuA	19	15.079		 	1.487	1.487	-0.116	2.289	-0.116	1.911	-0.464	-0.464	-0.398	-0.523	-0.575	0.054	-0.986	-0.934	-0.575	-0.623
K07402	K07402	xanthine dehydrogenase accessory factor	xdhC	20	15.873		 	0.008	0.008	-0.142	-0.602	-0.142	0.581	-0.49	2.073	-0.424	-0.549	-0.602	0.027	-1.013	-0.961	-0.602	2.328
K07403	K07403	membrane-bound serine protease (ClpP class)	nfeD	26	20.635		 	-0.129	-0.129	-0.279	2.038	-0.279	-0.485	-0.629	-0.203	-0.562	-0.688	-0.741	1.804	-1.156	-1.103	-0.741	2.107
K07404	K07404	6-phosphogluconolactonase [EC:3.1.1.31]	pgl	68	53.968	Pentose phosphate pathway (Pentose phosphate cycle)	map00030 Pentose phosphate pathway,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism	-0.783	0.643	-0.379	1.271	0.796	-1.149	-0.888	-1.3	-1.229	0.433	-1.42	1.085	1.724	1.664	-1.42	-1.472
K07407	K07407	alpha-galactosidase [EC:3.2.1.22]	E3.2.1.22B, galA, rafA	28	22.222		map00052 Galactose metabolism,map00561 Glycerolipid metabolism,map00600 Sphingolipid metabolism,map00603 Glycosphingolipid biosynthesis - globo and isoglobo series,map01100 Metabolic pathways	1.269	0.555	-0.32	-0.782	-0.32	-0.525	-0.67	-0.67	-0.603	1.117	-0.782	-0.162	0.989	0.115	-0.782	-0.83
K07443	K07443	methylated-DNA-protein-cysteine methyltransferase related protein	ybaZ	30	23.81		 	-0.208	-0.208	-0.359	-0.821	1.39	-0.564	1.376	-0.709	1.279	0.792	-0.821	-0.202	0.366	-0.479	-0.821	-0.87
K07444	K07444	putative N6-adenine-specific DNA methylase [EC:2.1.1.-]	ypsC	89	70.635		 	-1.101	-1.101	-0.082	0.947	0.482	0.689	-1.644	0.834	-1.567	0.893	-1.776	0.766	1.372	1.317	0.947	-1.835
K12297	K07444	23S rRNA (guanine2069-N7)-methyltransferase / 23S rRNA (guanine2445-N2)-methyltransferase [EC:2.1.1.264 2.1.1.173]	rlmKL	89	70.635		 	-1.101	-1.101	-0.082	0.947	0.482	0.689	-1.644	0.834	-1.567	0.893	-1.776	0.766	1.372	1.317	0.947	-1.835
K07445	K07445	putative DNA methylase	K07445	2	1.587		 	0.991	0.991	0.842	0.386	0.842	0.638	1.294	0.496	0.562	0.438	0.386	1.377	-0.016	0.034	0.386	0.339
K07448	K07448	restriction system protein	mrr	30	23.81		 	-0.208	-0.208	-0.359	0.663	-0.359	-0.101	0.973	1.376	-0.642	-0.768	1.538	-0.202	-1.24	-0.479	-0.821	-0.105
K07451	K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]	mcrA	31	24.603		 	-0.226	0.496	0.812	-0.441	0.19	0.325	-0.727	0.094	-0.222	0.01	0.867	-0.222	-0.903	0.18	-0.062	0.129
K07452	K07452	5-methylcytosine-specific restriction enzyme B [EC:3.1.21.-]	mcrB	79	62.698		 	0.486	-0.941	0.638	-1.204	0.077	-1.313	0.182	0.992	0.924	0.267	1.107	-0.968	-0.121	0.401	-1.594	1.157
K07453	K07453	putative restriction endonuclease	K07453	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	1.676	0.611	0.787	0.21	0.26	0.611	0.564
K19789	K07453	DNA repair protein RadD	radD	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	1.676	0.611	0.787	0.21	0.26	0.611	0.564
K07454	K07454	putative restriction endonuclease	K07454	8	6.349		 	0.438	0.438	0.288	-0.169	0.288	0.084	1.233	1.584	0.008	-0.117	-0.169	0.008	-0.574	-0.523	0.293	-0.216
K07455	K07455	recombination protein RecT	recT	18	14.286		 	0.061	0.061	1.126	-0.548	-0.089	0.185	1.728	0	-0.37	-0.495	-0.548	-0.37	-0.232	0.248	-0.548	0.194
K07456	K07456	DNA mismatch repair protein MutS2	mutS2	90	71.429		map03430 Mismatch repair	-1.118	-1.118	0.465	0.93	0.465	-1.5	-1.663	-1.663	-1.586	0.876	-1.026	0.749	1.354	1.299	0.93	0.979
K07457	K07457	endonuclease III related protein	K07457	16	12.698		 	0.119	0.119	-0.031	-0.49	-0.031	-0.236	0.063	-0.379	0.146	-0.437	-0.071	1.695	-0.523	0.132	0.845	-0.538
K07458	K07458	DNA mismatch endonuclease, patch repair protein [EC:3.1.-.-]	vsr	10	7.937		 	1.836	0.339	0.802	-0.269	0.802	-0.015	0.744	0.309	-0.092	0.238	-0.269	-0.092	-0.675	-0.623	0.176	0.121
K07459	K07459	putative ATP-dependent endonuclease of the OLD family	ybjD	61	48.413		 	0.741	0.741	0.336	-1.316	-0.838	-1.049	1.256	-0.103	1.186	1.318	1.375	-0.699	-1.086	-0.021	-1.316	1.427
K07460	K07460	putative endonuclease	yraN	57	45.238		 	0.797	0.797	0.951	-1.257	-0.782	1.163	1.315	1.315	0.403	1.378	1.435	-1.071	-1.707	-1.647	-1.257	1.488
K07461	K07461	putative endonuclease	K07461	89	70.635		 	-1.101	-1.101	0.482	0.947	0.482	-1.481	-1.231	0.834	-1.567	-1.312	-1.776	0.766	1.372	1.317	0.947	0.996
K07462	K07462	single-stranded-DNA-specific exonuclease [EC:3.1.-.-]	recJ	114	90.476		map03410 Base excision repair,map03430 Mismatch repair,map03440 Homologous recombination	-1.737	-1.737	-0.105	0.352	-0.105	0.099	-0.214	0.242	-2.36	0.3	0.352	0.175	0.76	0.314	0.352	0.4
K07464	K07464	CRISPR-associated exonuclease Cas4 [EC:3.1.12.1]	cas4	38	30.159		 	-0.347	-0.347	0.684	1.756	-0.499	-0.246	1.213	0.814	-0.783	-0.505	1.756	-0.783	-0.309	-0.978	-0.964	-1.013
K07465	K07465	putative RecB family exonuclease	K07465	28	22.222		 	1.269	1.269	-0.32	-0.38	-0.32	-0.525	1.837	-0.67	1.755	-0.729	1.982	-0.603	-0.84	-1.146	-0.782	-0.83
K07467	K07467	putative DNA relaxase	nicK	60	47.619		 	-0.671	-0.671	-0.824	-0.279	-0.266	-0.581	-1.183	0.859	-1.114	-1.245	-1.301	0.043	1.512	1.102	1.39	-1.352
K07473	K07473	DNA-damage-inducible protein J	dinJ	49	38.889		 	0.2	-0.516	1.067	-0.113	0.51	-0.42	-1.023	-0.608	1.365	-1.083	-0.745	-0.954	0.602	-0.044	-1.138	1.615
K07474	K07474	phage terminase small subunit	xtmA	21	16.667		 	-0.016	-0.016	1.601	0.168	0.411	0.101	-0.515	0.624	-0.449	-0.155	-0.627	1.083	0.086	-0.264	-0.627	-0.675
K07479	K07479	putative DNA topoisomerase	yrdD	32	25.397		 	-0.245	-0.245	1.351	-0.46	-0.396	1.577	-0.746	1.332	-0.679	-0.397	-0.859	1.666	-1.279	-1.225	-0.859	1.945
K07480	K07480	insertion element IS1 protein InsB	insB	3	2.381		 	0.842	0.842	0.692	0.236	0.692	0.488	0.346	0.346	0.412	2.178	0.236	0.412	-0.167	-0.116	0.236	0.189
K07489	K07480	transposase	K07489	3	2.381		 	0.842	0.842	0.692	0.236	0.692	0.488	0.346	0.346	0.412	2.178	0.236	0.412	-0.167	-0.116	0.236	0.189
K21430	K07480	aldose sugar dehydrogenase [EC:1.1.5.-]	yliI	3	2.381		 	0.842	0.842	0.692	0.236	0.692	0.488	0.346	0.346	0.412	2.178	0.236	0.412	-0.167	-0.116	0.236	0.189
K07481	K07481	transposase, IS5 family	K07481	13	10.317		 	0.218	0.218	0.068	-0.39	0.068	-0.136	-0.279	1.982	-0.213	2.116	-0.39	-0.213	-0.798	-0.746	-0.39	-0.438
K07482	K07482	transposase, IS30 family	K07482	9	7.143		 	0.386	0.386	0.236	-0.221	0.236	0.032	0.364	0.364	0.447	0.723	-0.221	-0.044	-0.627	0.736	-0.221	-0.269
K07483	K07483	transposase	K07483	77	61.111		 	-0.2	-0.912	0.107	0.371	0.668	-0.021	0.608	-0.63	0.11	-0.448	0.113	-0.523	-0.288	0.435	0.113	0.186
K07484	K07484	transposase	K07484	37	29.365		 	1.101	-0.331	-0.482	-0.947	-0.482	-0.689	1.644	-0.415	1.567	0.171	1.776	0.722	-1.372	-0.077	-0.947	-0.996
K07485	K07485	transposase	K07485	27	21.429		 	-0.149	-0.149	0.271	0.514	0.894	-0.505	-0.649	-0.649	-0.582	0.371	-0.761	0.279	-0.076	0.648	0.022	-0.81
K07486	K07486	transposase	K07486	10	7.937		 	0.339	0.339	0.189	-0.269	0.189	-0.015	-0.158	2.237	0.392	0.661	0.176	-0.092	-0.675	-0.623	-0.269	-0.316
K07487	K07487	transposase	K07487	14	11.111		 	0.183	0.183	0.033	-0.425	0.033	-0.171	-0.314	-0.314	-0.248	1.033	-0.425	1.342	-0.833	-0.031	-0.425	0.849
K07488	K07488	transposase	K07488	8	6.349		 	0.438	0.438	0.288	-0.169	0.288	0.61	-0.058	2.545	0.008	-0.117	-0.169	0.509	-0.574	-0.523	-0.169	-0.216
K07491	K07491	REP-associated tyrosine transposase	rayT	64	50.794		 	-0.014	-0.727	0.852	0.94	-0.322	-1.091	-1.241	0.118	-1.171	-0.904	-0.97	0.713	0.236	-0.07	1.33	0.999
K07492	K07492	putative transposase	K07492	7	5.556		 	0.496	0.496	0.346	-0.11	0.346	0.142	2.165	0	0.066	0.426	-0.11	0.066	-0.515	-0.029	-0.11	-0.158
K07493	K07493	putative transposase	K07493	23	18.254		 	0.666	0.666	-0.214	-0.674	-0.214	-0.419	-0.563	-0.563	-0.496	0.187	-0.674	-0.496	1.057	-0.668	1.071	-0.722
K07494	K07494	putative transposase	K07494	10	7.937		 	0.339	0.339	0.802	-0.269	0.189	-0.015	-0.158	0.309	-0.092	-0.216	-0.269	-0.092	-0.675	1.582	-0.269	-0.316
K07495	K07495	putative transposase	K07495	2	1.587		 	0.991	0.991	0.842	0.386	0.842	0.638	0.496	0.496	0.562	1.96	0.386	0.562	-0.016	0.034	0.386	0.339
K07496	K07496	putative transposase	K07496	22	17.46		 	-0.04	-0.04	1.574	-0.651	-0.191	-0.396	1.587	-0.539	-0.026	-0.598	2.168	0.726	-1.064	-1.011	-0.651	-0.699
K07497	K07497	putative transposase	K07497	100	79.365		 	0.129	0.129	0.279	0.337	0.279	0.018	0.629	0.203	0.119	-0.64	-0.044	-0.301	-0.704	0.391	0.337	0.393
K07498	K07498	putative transposase	K07498	17	13.492		 	0.089	0.089	-0.061	0.288	-0.061	-0.265	-0.408	-0.408	-0.342	-0.467	-0.52	1.653	0.035	0.095	0.806	-0.567
K07502	K07502	uncharacterized protein	yprB	7	5.556		 	0.496	0.496	0.989	-0.11	0.346	0.142	0	0	0.066	1.985	-0.11	0.58	-0.515	-0.464	-0.11	-0.158
K07504	K07504	predicted type IV restriction endonuclease	K07504	10	7.937		 	0.339	0.339	1.459	0.176	0.802	-0.015	1.756	-0.158	-0.092	-0.216	-0.269	-0.092	-0.675	-0.218	-0.269	-0.316
K07505	K07505	regulatory protein RepA	repA	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	0.787	1.189	0.26	0.611	0.564
K07506	K07506	AraC family transcriptional regulator	K07506	13	10.317		 	0.218	0.218	0.068	-0.39	0.068	-0.136	1.982	-0.279	-0.213	-0.338	-0.39	-0.213	0.916	-0.746	-0.39	-0.438
K07507	K07507	putative Mg2+ transporter-C (MgtC) family protein	mgtC	27	21.429		 	1.29	-0.149	0.894	-0.761	1.454	0.408	-0.649	-0.225	1.779	1.142	-0.761	-0.141	-1.178	-0.011	-0.761	-0.81
K07516	K07516	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	fadN	5	3.968	beta-Oxidation	map00071 Fatty acid degradation,map00362 Benzoate degradation,map00650 Butanoate metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01212 Fatty acid metabolism	0.638	0.638	1.903	0.032	0.488	0.285	0.142	0.68	0.208	0.084	0.032	1.29	-0.372	-0.321	0.032	-0.015
K07533	K07533	foldase protein PrsA [EC:5.2.1.8]	prsA	79	62.698		 	-0.941	0.486	0.638	1.107	0.638	-1.313	-1.469	0.992	-1.396	-1.534	-1.594	0.924	1.543	1.486	1.107	-1.649
K07552	K07552	MFS transporter, DHA1 family, multidrug resistance protein	bcr, tcaB	55	43.651		 	0.825	-0.601	-0.754	1.466	-0.754	1.192	-0.698	1.345	1.274	-1.172	1.466	1.274	-1.674	-1.615	-1.227	1.519
K07559	K07559	putative RNA 2'-phosphotransferase [EC:2.7.1.-]	kptA	11	8.73		 	0.295	0.295	1.404	-0.312	0.145	0.919	-0.201	1.673	-0.135	-0.26	0.126	-0.135	-0.323	-0.667	-0.312	-0.36
K07560	K07560	D-aminoacyl-tRNA deacylase [EC:3.1.1.96]	dtd, DTD	115	91.27		 	-0.295	-0.295	-0.145	0.312	-0.145	0.059	-0.259	0.201	0.135	0.26	0.312	0.135	0.719	0.667	0.312	-3.209
K07577	K07577	putative mRNA 3-end processing factor	K07577	10	7.937		 	0.339	0.339	0.189	-0.269	0.189	-0.015	-0.158	0.309	-0.092	1.576	-0.269	-0.092	-0.675	-0.623	-0.269	1.087
K07584	K07584	uncharacterized protein	ysxB	71	56.349		 	-0.825	-0.825	0.754	1.227	0.754	-1.192	-1.345	-1.345	-1.274	-1.408	-1.466	1.042	1.674	1.615	-1.466	1.278
K07586	K07586	uncharacterized protein	ygaC	68	53.968		 	-0.783	-0.783	-0.936	1.271	0.796	-1.149	-0.888	-1.3	-1.229	-1.363	-1.42	1.085	1.724	1.664	1.271	-1.472
K07588	K07588	GTPase [EC:3.6.5.-]	MMAA, argK	18	14.286		 	0.061	1.517	-0.089	-0.548	-0.089	-0.294	1.728	-0.437	-0.37	-0.495	-0.548	-0.37	-0.959	-0.906	-0.548	2.428
K07590	K07590	large subunit ribosomal protein L7A	RP-L7A, rplGB	78	61.905		map03010 Ribosome	-0.926	-0.926	0.092	1.123	0.653	-1.298	-1.453	-1.453	-1.38	-1.518	-1.577	0.939	1.56	1.149	1.123	1.172
K07636	K07636	two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]	phoR	31	24.603		map02020 Two-component system	1.209	1.209	0.19	-0.84	1.37	-0.583	1.767	-0.306	-0.66	-0.787	1.514	1.687	-1.26	-0.846	-0.84	-0.889
K07637	K07637	two-component system, OmpR family, sensor histidine kinase PhoQ [EC:2.7.13.3]	phoQ	7	5.556	Cationic antimicrobial peptide (CAMP) resistance, protease PgtE	map01503 Cationic antimicrobial peptide (CAMP) resistance,map02020 Two-component system	0.496	0.496	0.346	-0.11	0.346	0.142	0	0	3.015	0.426	-0.11	0.066	-0.515	-0.464	-0.11	-0.158
K07638	K07638	two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]	envZ	8	6.349		map02020 Two-component system,map02026 Biofilm formation - Escherichia coli	0.438	0.438	0.288	-0.169	0.288	0.084	-0.058	3.074	0.008	0.355	-0.169	0.008	-0.574	-0.523	-0.169	-0.216
K07639	K07639	two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]	rstB	12	9.524		map02020 Two-component system	0.255	0.255	0.105	-0.352	0.105	-0.099	-0.242	2.053	-0.175	-0.3	-0.352	-0.175	-0.76	0.89	-0.352	-0.4
K07640	K07640	two-component system, OmpR family, sensor histidine kinase CpxA [EC:2.7.13.3]	cpxA	44	34.921		map01503 Cationic antimicrobial peptide (CAMP) resistance,map02020 Two-component system	-0.442	-0.442	-0.593	1.645	-0.593	0.098	-0.947	1.107	-0.879	-1.007	-1.061	-0.879	-0.152	1.749	-0.033	-1.11
K07641	K07641	two-component system, OmpR family, sensor histidine kinase CreC [EC:2.7.13.3]	creC	17	13.492		map02020 Two-component system	0.089	0.089	-0.061	-0.52	-0.061	-0.265	-0.408	-0.408	-0.342	-0.467	-0.52	-0.342	-0.93	3.178	-0.52	-0.567
K07642	K07642	two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3]	baeS, smeS	37	29.365		map02020 Two-component system	-0.331	-0.331	-0.482	1.776	-0.482	-0.689	-0.834	-0.834	-0.766	-0.893	-0.947	-0.331	-0.02	1.921	0.087	-0.996
K07643	K07643	two-component system, OmpR family, sensor histidine kinase BasS [EC:2.7.13.3]	basS	6	4.762		map01503 Cationic antimicrobial peptide (CAMP) resistance,map02020 Two-component system	0.562	0.562	0.412	-0.044	0.412	0.208	0.066	0.066	3.496	0.008	-0.044	0.132	-0.449	-0.398	-0.044	-0.092
K10559	K07643	rhamnose transport system substrate-binding protein	rhaS	6	4.762		map02010 ABC transporters	0.562	0.562	0.412	-0.044	0.412	0.208	0.066	0.066	3.496	0.008	-0.044	0.132	-0.449	-0.398	-0.044	-0.092
K11055	K07643	CylJ protein	cylJ	6	4.762		 	0.562	0.562	0.412	-0.044	0.412	0.208	0.066	0.066	3.496	0.008	-0.044	0.132	-0.449	-0.398	-0.044	-0.092
K12582	K07643	dTDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase [EC:2.4.1.325]	wecF, rffT	6	4.762		 	0.562	0.562	0.412	-0.044	0.412	0.208	0.066	0.066	3.496	0.008	-0.044	0.132	-0.449	-0.398	-0.044	-0.092
K16555	K07643	succinoglycan biosynthesis protein ExoO [EC:2.4.-.-]	exoO	6	4.762		 	0.562	0.562	0.412	-0.044	0.412	0.208	0.066	0.066	3.496	0.008	-0.044	0.132	-0.449	-0.398	-0.044	-0.092
K16564	K07643	succinoglycan biosynthesis protein ExoU [EC:2.4.-.-]	exoU	6	4.762		 	0.562	0.562	0.412	-0.044	0.412	0.208	0.066	0.066	3.496	0.008	-0.044	0.132	-0.449	-0.398	-0.044	-0.092
K19956	K07643	L-sorbose 1-phosphate reductase [EC:1.1.1.-]	sorE	6	4.762		map00051 Fructose and mannose metabolism,map01100 Metabolic pathways	0.562	0.562	0.412	-0.044	0.412	0.208	0.066	0.066	3.496	0.008	-0.044	0.132	-0.449	-0.398	-0.044	-0.092
K20810	K07643	aminodeoxyfutalosine deaminase [EC:3.5.4.40]	mqnX	6	4.762	Menaquinone biosynthesis, futalosine pathway	map00130 Ubiquinone and other terpenoid-quinone biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01240 Biosynthesis of cofactors	0.562	0.562	0.412	-0.044	0.412	0.208	0.066	0.066	3.496	0.008	-0.044	0.132	-0.449	-0.398	-0.044	-0.092
K07645	K07645	two-component system, OmpR family, sensor histidine kinase QseC [EC:2.7.13.3]	qseC	13	10.317		map02020 Two-component system,map02024 Quorum sensing	0.218	0.218	0.665	-0.39	0.068	2.167	-0.279	0.172	2.294	-0.338	-0.39	-0.213	-0.798	-0.746	-0.39	-0.438
K07649	K07649	two-component system, OmpR family, sensor histidine kinase TctE [EC:2.7.13.3]	tctE	9	7.143		map02020 Two-component system	1.894	0.386	0.236	-0.221	0.236	0.032	-0.11	0.364	2.64	-0.169	-0.221	-0.044	-0.627	-0.575	-0.221	-0.269
K07653	K07653	two-component system, OmpR family, sensor histidine kinase MprB [EC:2.7.13.3]	mprB	32	25.397		map02020 Two-component system	1.19	1.19	-0.396	-0.859	-0.396	1.577	1.745	-0.325	1.666	-0.805	1.883	-0.679	-1.279	-1.225	-0.859	-0.907
K08296	K07653	phosphohistidine phosphatase [EC:3.1.3.-]	sixA	32	25.397		 	1.19	1.19	-0.396	-0.859	-0.396	1.577	1.745	-0.325	1.666	-0.805	1.883	-0.679	-1.279	-1.225	-0.859	-0.907
K07673	K07673	two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX [EC:2.7.13.3]	narX	65	51.587		map02020 Two-component system	-0.741	-0.741	-0.894	-1.375	0.838	-1.106	-1.256	1.198	-1.186	-1.318	-1.375	1.128	1.774	1.712	1.316	-1.427
K07680	K07680	two-component system, NarL family, sensor histidine kinase ComP [EC:2.7.13.3]	comP	9	7.143		map02020 Two-component system,map02024 Quorum sensing	0.386	0.386	0.236	2.304	0.236	0.032	-0.11	-0.11	-0.044	-0.169	-0.221	-0.044	-0.627	-0.163	0.231	-0.269
K07683	K07683	two-component system, NarL family, sensor histidine kinase NreB [EC:2.7.13.3]	nreB	12	9.524		map02020 Two-component system	0.255	0.255	0.105	1.894	0.105	-0.099	-0.242	-0.242	-0.175	-0.3	-0.352	1.907	-0.76	-0.708	-0.352	-0.4
